physician_npi,name,specialty,sub_specialty,data_source
RAAM,RAAM,,,Syn
THORAN,THORAN,,,Syn
CLOPEZ,CLOPEZ,,,Syn
TESTRELL,TESTRELL,,,Syn
VILPE,VILPE,,,Syn
HENKY,HENKY,,,Syn
BR0726,BR0726,,,Syn
POSBR,POSBR,,,Syn
ROUJA,ROUJA,,,Syn
BARTEI,BARTEI,,,Syn
MRTP01,MRTP01,,,Syn
TRAJA,TRAJA,,,Syn
MARTMA,MARTMA,,,Syn
PATKAU,PATKAU,,,Syn
BRIOJU,BRIOJU,,,Syn
SHIMA,SHIMA,,,Syn
DIAJO,DIAJO,,,Syn
FITNA,FITNA,,,Syn
WRIST,WRIST,,,Syn
SORAN,SORAN,,,Syn
FOLAMA,FOLAMA,,,Syn
VANMI,VANMI,,,Syn
MARTINJANA,MARTINJANA,,,Syn
FABMI,FABMI,,,Syn
"FHC,OF SD",OF SD FHC,,,Syn
BERLE,BERLE,,,Syn
WEDP01,WEDP01,,,Syn
RIARAN,RIARAN,,,Syn
JOH0007,JOH0007,,,Syn
PERJA,PERJA,,,Syn
DAVIS,DAVIS,,,Syn
NEWHA,NEWHA,,,Syn
BOWEANDR,BOWEANDR,,,Syn
COOJO,COOJO,,,Syn
PATER3,PATER3,,,Syn
MILTRO,MILTRO,,,Syn
EHS,EHS,,,Syn
OTTAS,OTTAS,,,Syn
DATVI,DATVI,,,Syn
MILLL,MILLL,,,Syn
CAMPBELLSC,CAMPBELLSC,,,Syn
LONDA,LONDA,,,Syn
OWENMI,OWENMI,,,Syn
"MOLINA,DRS",DRS MOLINA,,,Syn
SYVRE,SYVRE,,,Syn
OXNERTROY,OXNERTROY,,,Syn
RENWIH,RENWIH,,,Syn
MATJC,MATJC,,,Syn
CQBYL,CQBYL,,,Syn
LEUNL,LEUNL,,,Syn
WANDA,WANDA,,,Syn
HXBP01,HXBP01,,,Syn
SOTMA,SOTMA,,,Syn
RICKDAN,RICKDAN,,,Syn
OBRIKAT,OBRIKAT,,,Syn
TAYDO,TAYDO,,,Syn
LIBAN,LIBAN,,,Syn
TRANVA,TRANVA,,,Syn
RSOBEL,RSOBEL,,,Syn
RHILL1,RHILL1,,,Syn
YOSTT,YOSTT,,,Syn
SBUCHANA,SBUCHANA,,,Syn
TWILSON,TWILSON,,,Syn
SGRIEPER,SGRIEPER,,,Syn
NFD,NFD,,,Syn
GARJOR,GARJOR,,,Syn
HORNUNGB,HORNUNGB,,,Syn
KODUR,KODUR,,,Syn
JONAT91993,JONAT91993,,,Syn
DTOUCHSTON,DTOUCHSTON,,,Syn
VALDIVIAJ,VALDIVIAJ,,,Syn
GREPA,GREPA,,,Syn
TIMALL,TIMALL,,,Syn
HAMWE,HAMWE,,,Syn
CLARSI,CLARSI,,,Syn
PHY.ROSRO,PHY.ROSRO,,,Syn
PHY.KENPA,PHY.KENPA,,,Syn
MAPHE,MAPHE,,,Syn
WOOJE,WOOJE,,,Syn
GIBSM,GIBSM,,,Syn
RODAFERDIN,RODAFERDIN,,,Syn
MASAD,MASAD,,,Syn
BEYHJ,BEYHJ,,,Syn
LALTA,LALTA,,,Syn
"Lukas, Timothy MD",Timothy Lukas MD,,,Syn
"Lal,Anup MD",Anup Lal MD,,,Syn
SADEWUNMI,SADEWUNMI,,,Syn
SAWDA,SAWDA,,,Syn
"Raymond, Michele DO",Michele Raymond DO,,,Syn
KETCHERBRE,KETCHERBRE,,,Syn
JGERSHEN,JGERSHEN,,,Syn
HCLEMONS,HCLEMONS,,,Syn
RINAP,RINAP,,,Syn
JALIM,JALIM,,,Syn
SWENKJI,SWENKJI,,,Syn
JANAH,JANAH,,,Syn
SOTOSYLV,SOTOSYLV,,,Syn
LUFMA,LUFMA,,,Syn
LUECA,LUECA,,,Syn
BARTE,BARTE,,,Syn
SATJA,SATJA,,,Syn
KUBCH,KUBCH,,,Syn
ACAROLINE,ACAROLINE,,,Syn
HDAV,HDAV,,,Syn
PHY.WATKE,PHY.WATKE,,,Syn
MOHSTHO,MOHSTHO,,,Syn
STANLO,STANLO,,,Syn
PHY.KHOAN,PHY.KHOAN,,,Syn
SCONO,SCONO,,,Syn
PHY.JONRY,PHY.JONRY,,,Syn
"Kut, Patrick A  MD",Patrick A Kut MD,,,Syn
WETJO,WETJO,,,Syn
MUSJA,MUSJA,,,Syn
DUKBI,DUKBI,,,Syn
HIPO,HIPO,,,Syn
WERV.11,WERV.11,,,Syn
SLOANK,SLOANK,,,Syn
RS497,RS497,,,Syn
GC660,GC660,,,Syn
PERDA,PERDA,,,Syn
MILJO,MILJO,,,Syn
MATHDA,MATHDA,,,Syn
SPRJO,SPRJO,,,Syn
LUNDGR,LUNDGR,,,Syn
LOWCH,LOWCH,,,Syn
HOFKE,HOFKE,,,Syn
OAKLJ,OAKLJ,,,Syn
NIC0062,NIC0062,,,Syn
PHADE,PHADE,,,Syn
CUCMA,CUCMA,,,Syn
JUELBR,JUELBR,,,Syn
HORNJE,HORNJE,,,Syn
MCH,MCH,,,Syn
HOPKLE,HOPKLE,,,Syn
GLEE1,GLEE1,,,Syn
FUMEJOSER,FUMEJOSER,,,Syn
"Pasia, E N. DO",E N. Pasia DO,,,Syn
DUAMA,DUAMA,,,Syn
TOTDO,TOTDO,,,Syn
MARTA,MARTA,,,Syn
GRERI,GRERI,,,Syn
BALMIR,BALMIR,,,Syn
ALBJ,ALBJ,,,Syn
TAYJOH,TAYJOH,,,Syn
EPPAL,EPPAL,,,Syn
AUGJA,AUGJA,,,Syn
TORRJOSEG,TORRJOSEG,,,Syn
MCCAL,MCCAL,,,Syn
RENTMARIAD,RENTMARIAD,,,Syn
SORRELSJOH,SORRELSJOH,,,Syn
OTTSH,OTTSH,,,Syn
HINMI@WAT,HINMI@WAT,,,Syn
DASCH,DASCH,,,Syn
EPPCH,EPPCH,,,Syn
JOHNE2,JOHNE2,,,Syn
CARKI,CARKI,,,Syn
"Rowe,Jeannie DO",Jeannie Rowe DO,,,Syn
YOHNSH,YOHNSH,,,Syn
ARBIE,ARBIE,,,Syn
RADSH,RADSH,,,Syn
SANPA,SANPA,,,Syn
"RADLAUER,GERALD",GERALD RADLAUER,,,Syn
MIK,MIK,,,Syn
EGSANTOS,EGSANTOS,,,Syn
KUHNJ,KUHNJ,,,Syn
.ASHEG,.ASHEG,,,Syn
BECKMA,BECKMA,,,Syn
GARDH,GARDH,,,Syn
LINCJ,LINCJ,,,Syn
ENIOL91196,ENIOL91196,,,Syn
EL0304,EL0304,,,Syn
COSTTI,COSTTI,,,Syn
BUTNE,BUTNE,,,Syn
LEHU,LEHU,,,Syn
GUPSA,GUPSA,,,Syn
MORRA,MORRA,,,Syn
CYOUNGBLOO,CYOUNGBLOO,,,Syn
HAZRI,HAZRI,,,Syn
GROVNAN,GROVNAN,,,Syn
WMOSIER,WMOSIER,,,Syn
BONHB,BONHB,,,Syn
SAHNI,SAHNI,,,Syn
TRUTR,TRUTR,,,Syn
GOODA,GOODA,,,Syn
ADAKAT,ADAKAT,,,Syn
TODRO,TODRO,,,Syn
"Alsawah,Samir MD",Samir Alsawah MD,,,Syn
GARZMAR,GARZMAR,,,Syn
MTA34422,MTA34422,,,Syn
BRAYTI,BRAYTI,,,Syn
GRYST@SKH,GRYST@SKH,,,Syn
"Karadimas,Leonard DO",Leonard Karadimas DO,,,Syn
RWRIGHT,RWRIGHT,,,Syn
KOJJA,KOJJA,,,Syn
BAINTERA,BAINTERA,,,Syn
LIUJE,LIUJE,,,Syn
LUNDGRENC,LUNDGRENC,,,Syn
HAWNA@WW,HAWNA@WW,,,Syn
TREST,TREST,,,Syn
DESOTODAVI,DESOTODAVI,,,Syn
MEHNIR,MEHNIR,,,Syn
LEPDA,LEPDA,,,Syn
WILSONAM,WILSONAM,,,Syn
MABENP,MABENP,,,Syn
"Tremp, Stacey S DO",Stacey S Tremp DO,,,Syn
CARB,CARB,,,Syn
"Spisak, Lori MD",Lori Spisak MD,,,Syn
PM772,PM772,,,Syn
ANDKR,ANDKR,,,Syn
WONDE,WONDE,,,Syn
ABRRI,ABRRI,,,Syn
FISJA,FISJA,,,Syn
WALTERSJ,WALTERSJ,,,Syn
JO1004,JO1004,,,Syn
ASTRKR,ASTRKR,,,Syn
EA0010,EA0010,,,Syn
AMBLA,AMBLA,,,Syn
WAD0002,WAD0002,,,Syn
PENLLO,PENLLO,,,Syn
DESGN,DESGN,,,Syn
MOZBE,MOZBE,,,Syn
LANG.01,LANG.01,,,Syn
RNNAV,RNNAV,,,Syn
OSEMA,OSEMA,,,Syn
MERGR,MERGR,,,Syn
WRAVI,WRAVI,,,Syn
ZYGIJOHN,ZYGIJOHN,,,Syn
DAVAL@LUC,DAVAL@LUC,,,Syn
NORSA,NORSA,,,Syn
AND0003,AND0003,,,Syn
MOOSFA,MOOSFA,,,Syn
"Daher, Emad MD",Emad Daher MD,,,Syn
PAROG,PAROG,,,Syn
RLBOYD,RLBOYD,,,Syn
STEPHENST,STEPHENST,,,Syn
LEEJE,LEEJE,,,Syn
PAU0066,PAU0066,,,Syn
SCHJO,SCHJO,,,Syn
HOYJA,HOYJA,,,Syn
DODLL,DODLL,,,Syn
ALVTE,ALVTE,,,Syn
EKOST,EKOST,,,Syn
KEEJO,KEEJO,,,Syn
BROHI,BROHI,,,Syn
FRE0060,FRE0060,,,Syn
DA0752,DA0752,,,Syn
KE0484,KE0484,,,Syn
HANDA,HANDA,,,Syn
CRANST,CRANST,,,Syn
CASCA,CASCA,,,Syn
GADJA,GADJA,,,Syn
KIDTAK,KIDTAK,,,Syn
"Ruthven, Alexander G MD",Alexander G Ruthven MD,,,Syn
SMIRU,SMIRU,,,Syn
ROBERTJON,ROBERTJON,,,Syn
HUD,HUD,,,Syn
HIRCI,HIRCI,,,Syn
DRIWE,DRIWE,,,Syn
DAMAN,DAMAN,,,Syn
ZZZSHINGE,ZZZSHINGE,,,Syn
"PHAM,DON",N PHAM,,,Syn
.SHAFMI,.SHAFMI,,,Syn
KELLN,KELLN,,,Syn
CARAR,CARAR,,,Syn
JOS0054,JOS0054,,,Syn
FHN2417,FHN2417,,,Syn
BENJA,BENJA,,,Syn
FROBENIUSR,FROBENIUSR,,,Syn
KUMR,KUMR,,,Syn
DW280,DW280,,,Syn
DACRA,DACRA,,,Syn
"Hurtubise,Amanda MD",Amanda Hurtubise MD,,,Syn
NACLO,NACLO,,,Syn
DEJEMIGUA,DEJEMIGUA,,,Syn
MORJOH,MORJOH,,,Syn
LEEALA,LEEALA,,,Syn
VONFJE,VONFJE,,,Syn
KIMYU,KIMYU,,,Syn
JENSCL,JENSCL,,,Syn
ANDCO,ANDCO,,,Syn
CELO,CELO,,,Syn
SIEL,SIEL,,,Syn
PTNP,PTNP,,,Syn
DINSO,DINSO,,,Syn
FINJAC,FINJAC,,,Syn
MAHHAA,MAHHAA,,,Syn
SINP,SINP,,,Syn
OTH,OTH,,,Syn
BUDHAR,BUDHAR,,,Syn
PEERO,PEERO,,,Syn
"Singh, Harpreet MD",Harpreet Singh MD,,,Syn
PHAPA,PHAPA,,,Syn
FRIJE,FRIJE,,,Syn
JOHW,JOHW,,,Syn
ZDDAR,ZDDAR,,,Syn
BRADHEAT,BRADHEAT,,,Syn
MOOJA,MOOJA,,,Syn
GAMMDE,GAMMDE,,,Syn
BARLY,BARLY,,,Syn
RAJKSU,RAJKSU,,,Syn
"Kamer,Marshall MD",Marshall Kamer MD,,,Syn
ROB0095,ROB0095,,,Syn
MK93538,MK93538,,,Syn
BAUAR,BAUAR,,,Syn
TSI0001,TSI0001,,,Syn
HERNRA,HERNRA,,,Syn
"Kovar,Richard DO",Richard Kovar DO,,,Syn
SCHWAL,SCHWAL,,,Syn
LAKSHMANA,LAKSHMANA,,,Syn
FRICAM,FRICAM,,,Syn
HALLL,HALLL,,,Syn
MG6656,MG6656,,,Syn
SAYNA,SAYNA,,,Syn
SUWIL,SUWIL,,,Syn
AMDDA,AMDDA,,,Syn
SAUETA,SAUETA,,,Syn
BENST,BENST,,,Syn
MPURVIS,MPURVIS,,,Syn
JYVP01,JYVP01,,,Syn
MURI,MURI,,,Syn
CALJO,CALJO,,,Syn
OS0008,OS0008,,,Syn
ERBLA,ERBLA,,,Syn
RI0260,RI0260,,,Syn
SCHMDAV,SCHMDAV,,,Syn
CHAJE,CHAJE,,,Syn
OPPBET,OPPBET,,,Syn
OORJED,OORJED,,,Syn
WESL,WESL,,,Syn
LEOAN,LEOAN,,,Syn
VACMD,VACMD,,,Syn
BHANY,BHANY,,,Syn
CYN0013,CYN0013,,,Syn
STE0082,STE0082,,,Syn
AMI0004,AMI0004,,,Syn
GARRO,GARRO,,,Syn
POLSP,POLSP,,,Syn
"Samuel,Nalini MD",Nalini Samuel MD,,,Syn
THOMC,THOMC,,,Syn
DICMA,DICMA,,,Syn
OUTSPSI,OUTSPSI,,,Syn
VNGAKENG,VNGAKENG,,,Syn
TAGGAJ,TAGGAJ,,,Syn
MORRO,MORRO,,,Syn
BROWNINGJO,BROWNINGJO,,,Syn
PFAUWI,PFAUWI,,,Syn
RICJAM,RICJAM,,,Syn
RE0255,RE0255,,,Syn
BONNETTEV,BONNETTEV,,,Syn
DUDSU,DUDSU,,,Syn
OSUAB,OSUAB,,,Syn
ERICVER,ERICVER,,,Syn
SCHRJE1,SCHRJE1,,,Syn
JOHNO,JOHNO,,,Syn
FUNKS,FUNKS,,,Syn
AXMP04,AXMP04,,,Syn
MONTRO,MONTRO,,,Syn
PATLY,PATLY,,,Syn
SMITRO,SMITRO,,,Syn
BARBA,BARBA,,,Syn
KISES,KISES,,,Syn
SABVI,SABVI,,,Syn
LINHE,LINHE,,,Syn
LITTLET,LITTLET,,,Syn
TIPPVI,TIPPVI,,,Syn
HIAMA,HIAMA,,,Syn
ANT0059,ANT0059,,,Syn
ZOHRDA,ZOHRDA,,,Syn
PAKTPR,PAKTPR,,,Syn
"Heithoff,Scott DO",Scott Heithoff DO,,,Syn
JY91826,JY91826,,,Syn
PIERMA,PIERMA,,,Syn
TRELE,TRELE,,,Syn
ZZ.EDM-DR,ZZ.EDM-DR,,,Syn
DITTA,DITTA,,,Syn
LENRO,LENRO,,,Syn
KILAN,KILAN,,,Syn
.CHANJ,.CHANJ,,,Syn
JDAKO,JDAKO,,,Syn
ALVRO,ALVRO,,,Syn
SORGA,SORGA,,,Syn
HAYMI,HAYMI,,,Syn
HERANA,HERANA,,,Syn
"Pennell, Crystal K NP-C",Crystal K Pennell NP-C,,,Syn
WILBR,WILBR,,,Syn
SILMA,SILMA,,,Syn
ROGCH,ROGCH,,,Syn
CRUMBR,CRUMBR,,,Syn
ROSM,ROSM,,,Syn
SANSONJODI,SANSONJODI,,,Syn
MACJA,MACJA,,,Syn
MILSA,MILSA,,,Syn
COOJO@NCOG,COOJO@NCOG,,,Syn
RILE.22,RILE.22,,,Syn
*DEJEMARI,*DEJEMARI,,,Syn
DIWANSKI,DIWANSKI,,,Syn
SOTO,SOTO,,,Syn
KERSM,KERSM,,,Syn
RAGRO,RAGRO,,,Syn
WHITAARO,WHITAARO,,,Syn
PHY.CHAMI,PHY.CHAMI,,,Syn
GREEJA,GREEJA,,,Syn
RANAN2MD,RANAN2MD,,,Syn
BARPA@NCFM,BARPA@NCFM,,,Syn
DJONES2,DJONES2,,,Syn
ALISH,ALISH,,,Syn
LYNCJA,LYNCJA,,,Syn
CRODE,CRODE,,,Syn
YBAMA,YBAMA,,,Syn
EH432,EH432,,,Syn
AMI,AMI,,,Syn
TORJ,TORJ,,,Syn
MO0149,MO0149,,,Syn
SC0112,SC0112,,,Syn
AZIZM,AZIZM,,,Syn
MAIMAT,MAIMAT,,,Syn
DUGSEA,DUGSEA,,,Syn
BENHI,BENHI,,,Syn
CIN0068,CIN0068,,,Syn
MCKPH@QMUC,MCKPH@QMUC,,,Syn
LEMEASH,LEMEASH,,,Syn
CHEBO,CHEBO,,,Syn
BAKEIY,BAKEIY,,,Syn
ELLZJE,ELLZJE,,,Syn
HOUKA,HOUKA,,,Syn
LEETA,LEETA,,,Syn
COULSTE002,COULSTE002,,,Syn
FRIDELI,FRIDELI,,,Syn
BRADMO,BRADMO,,,Syn
MERRAN,MERRAN,,,Syn
GONJAM,GONJAM,,,Syn
BROWDE2,BROWDE2,,,Syn
KOTCS,KOTCS,,,Syn
LATSU,LATSU,,,Syn
DAFDE,DAFDE,,,Syn
BOSPH,BOSPH,,,Syn
PATPR,PATPR,,,Syn
LUNDCHRI,LUNDCHRI,,,Syn
RH249,RH249,,,Syn
ROBJE,ROBJE,,,Syn
.GENDM,.GENDM,,,Syn
GRIEGON,GRIEGON,,,Syn
WADTE,WADTE,,,Syn
MURTH,MURTH,,,Syn
ROBED,ROBED,,,Syn
OESBR,OESBR,,,Syn
KA0763,KA0763,,,Syn
"Nandamudi, Dev S MD",Dev S Nandamudi MD,,,Syn
GB797,GB797,,,Syn
WHITEWI,WHITEWI,,,Syn
HIGGL,HIGGL,,,Syn
NEUFELDT,NEUFELDT,,,Syn
LAWRENZIJ,LAWRENZIJ,,,Syn
DAHLM,DAHLM,,,Syn
MEDAM,MEDAM,,,Syn
SWAPA,SWAPA,,,Syn
FISDA,FISDA,,,Syn
REYEJOSES,REYEJOSES,,,Syn
FISST,FISST,,,Syn
ALLAJEAN,ALLAJEAN,,,Syn
"FAMILY,HTH CTR OF SD",HTH CTR OF SD FAMILY,,,Syn
DUXBGE,DUXBGE,,,Syn
CHIPE,CHIPE,,,Syn
"Doshi, Seema MD",Seema Doshi MD,,,Syn
SUSKA,SUSKA,,,Syn
FARHO,FARHO,,,Syn
KF207,KF207,,,Syn
SULWIL,SULWIL,,,Syn
JO1081,JO1081,,,Syn
MCCOAS,MCCOAS,,,Syn
RAMOESTE,RAMOESTE,,,Syn
SGIFFORD,SGIFFORD,,,Syn
COCCJO,COCCJO,,,Syn
AHM0301,AHM0301,,,Syn
"LOPEZ,IRMA",IRMA LOPEZ,,,Syn
"Prezas, Roland DO",Roland Prezas DO,,,Syn
"Martinez, Henry MD",Henry Martinez MD,,,Syn
SERRAMED,SERRAMED,,,Syn
MUNDE,MUNDE,,,Syn
APER,APER,,,Syn
RAGREER,RAGREER,,,Syn
CCFC,CCFC,,,Syn
CANTROBEJ,CANTROBEJ,,,Syn
MH92758,MH92758,,,Syn
DEKAPE,DEKAPE,,,Syn
FULBTH,FULBTH,,,Syn
GOUM,GOUM,,,Syn
HINDO,HINDO,,,Syn
MATOISABT,MATOISABT,,,Syn
FRIMA,FRIMA,,,Syn
JONW,JONW,,,Syn
RUT0059,RUT0059,,,Syn
QADIG,QADIG,,,Syn
RO0678,RO0678,,,Syn
BERNE,BERNE,,,Syn
KIEUAL,KIEUAL,,,Syn
ZINIP,ZINIP,,,Syn
ALVMAR,ALVMAR,,,Syn
RETTST,RETTST,,,Syn
WENDSHEL,WENDSHEL,,,Syn
PHY.ROSMA,PHY.ROSMA,,,Syn
REEDJESSIC,REEDJESSIC,,,Syn
MARLU,MARLU,,,Syn
COSTCE,COSTCE,,,Syn
NAGARUP,NAGARUP,,,Syn
FETT,FETT,,,Syn
ALHOSE,ALHOSE,,,Syn
HAGEDW,HAGEDW,,,Syn
MCC,MCC,,,Syn
FAYWILL,FAYWILL,,,Syn
JOLLTERE,JOLLTERE,,,Syn
"Sulich, Andrew J MD",Andrew J Sulich MD,,,Syn
"Stallwood, Arunthathi  MD",Arunthathi Stallwood MD,,,Syn
MAREDW,MAREDW,,,Syn
DIEW,DIEW,,,Syn
CRAPA,CRAPA,,,Syn
RAJAVI,RAJAVI,,,Syn
WWILSON,WWILSON,,,Syn
EATJE,EATJE,,,Syn
.HOHLK,.HOHLK,,,Syn
SCHRIC,SCHRIC,,,Syn
UPDJO,UPDJO,,,Syn
SYE0004,SYE0004,,,Syn
MALRI,MALRI,,,Syn
SZUMFRAN,SZUMFRAN,,,Syn
PRIWI,PRIWI,,,Syn
NIERO,NIERO,,,Syn
WADLEYTE,WADLEYTE,,,Syn
HONGHY,HONGHY,,,Syn
NICGR,NICGR,,,Syn
QIUJU,QIUJU,,,Syn
NGULI,NGULI,,,Syn
ENGLISHTIM,ENGLISHTIM,,,Syn
DITTTA,DITTTA,,,Syn
KIRAK,KIRAK,,,Syn
SILVMARIAN,SILVMARIAN,,,Syn
EVAN,EVAN,,,Syn
ABERNI,ABERNI,,,Syn
HOLNA,HOLNA,,,Syn
TONGBEV,TONGBEV,,,Syn
WHIJA,WHIJA,,,Syn
ABEJOC,ABEJOC,,,Syn
CHE0056,CHE0056,,,Syn
ROOAN,ROOAN,,,Syn
TK91334,TK91334,,,Syn
TAMEFA,TAMEFA,,,Syn
DANN.01,DANN.01,,,Syn
AC8283,AC8283,,,Syn
JB93422,JB93422,,,Syn
REPMI,REPMI,,,Syn
.SOODD,.SOODD,,,Syn
HARVAN,HARVAN,,,Syn
HAWKINSJ,HAWKINSJ,,,Syn
ABOHU,ABOHU,,,Syn
PAREU,PAREU,,,Syn
BHAKA,BHAKA,,,Syn
OWUKW,OWUKW,,,Syn
RUTKE,RUTKE,,,Syn
EWEPE,EWEPE,,,Syn
THOMIT,THOMIT,,,Syn
GADMO,GADMO,,,Syn
ED694,ED694,,,Syn
ZO0007,ZO0007,,,Syn
RBLUBAUGH,RBLUBAUGH,,,Syn
ROGEAIME,ROGEAIME,,,Syn
HILMAS,HILMAS,,,Syn
CARRINGTON,CARRINGTON,,,Syn
BURAIL,BURAIL,,,Syn
KOOAL,KOOAL,,,Syn
SUCHMO,SUCHMO,,,Syn
ERGRP,ERGRP,,,Syn
"Johnson, Matthew D MD",Matthew D Johnson MD,,,Syn
TRUNE,TRUNE,,,Syn
CLARKL,CLARKL,,,Syn
SBESSON,SBESSON,,,Syn
REFER,REFER,,,Syn
GIBSS,GIBSS,,,Syn
ADAJO,ADAJO,,,Syn
"UN,DR",DR UN,,,Syn
KODUVI,KODUVI,,,Syn
CONNME,CONNME,,,Syn
"EARLE,CHARMAINE",CHARMAINE EARLE,,,Syn
PATJ,PATJ,,,Syn
KHMU,KHMU,,,Syn
ROWETRACY,ROWETRACY,,,Syn
AVEB,AVEB,,,Syn
KILRO,KILRO,,,Syn
HAHNJO,HAHNJO,,,Syn
MELLST,MELLST,,,Syn
SURM,SURM,,,Syn
TRASU,TRASU,,,Syn
HE0258,HE0258,,,Syn
JUDYBE,JUDYBE,,,Syn
BROGA,BROGA,,,Syn
ORYER,ORYER,,,Syn
RS5006,RS5006,,,Syn
HERCH,HERCH,,,Syn
JFINLEY,JFINLEY,,,Syn
HANCH,HANCH,,,Syn
BAUMZA,BAUMZA,,,Syn
COOJOE,COOJOE,,,Syn
LIJIN,LIJIN,,,Syn
ZAYACARLR,ZAYACARLR,,,Syn
TRADA,TRADA,,,Syn
BENSDAV,BENSDAV,,,Syn
GARJ,GARJ,,,Syn
MARKWAYG,MARKWAYG,,,Syn
OCHORI,OCHORI,,,Syn
DRUMI,DRUMI,,,Syn
MASSLO,MASSLO,,,Syn
PARKJI,PARKJI,,,Syn
JONMO,JONMO,,,Syn
RO0636,RO0636,,,Syn
MM7151,MM7151,,,Syn
TSEAL,TSEAL,,,Syn
ALVAJU,ALVAJU,,,Syn
LENDA,LENDA,,,Syn
LAGEJOH,LAGEJOH,,,Syn
VANJI,VANJI,,,Syn
JLKIRKMA,JLKIRKMA,,,Syn
SAM0066,SAM0066,,,Syn
UNDEFINED,UNDEFINED,,,Syn
CABAN,CABAN,,,Syn
BOLLRE,BOLLRE,,,Syn
SLOH,SLOH,,,Syn
MARSA,MARSA,,,Syn
HOVTH,HOVTH,,,Syn
MG92805,MG92805,,,Syn
"Heithoff, Scott DO",Scott Heithoff DO,,,Syn
VAL0054,VAL0054,,,Syn
WIDMI,WIDMI,,,Syn
RAWAS,RAWAS,,,Syn
"Kuester,Alan DO",Alan Kuester DO,,,Syn
PHANPE,PHANPE,,,Syn
BANTE,BANTE,,,Syn
"Niver, Karen MD",Karen Niver MD,,,Syn
HILLLA,HILLLA,,,Syn
RUTRIA,RUTRIA,,,Syn
ANDEJUD,ANDEJUD,,,Syn
GREEALA,GREEALA,,,Syn
MORRJAME,MORRJAME,,,Syn
NOLOC,NOLOC,,,Syn
AMEFA,AMEFA,,,Syn
PAGEMIC,PAGEMIC,,,Syn
LD476,LD476,,,Syn
CARAN,CARAN,,,Syn
REYBR,REYBR,,,Syn
PULSDA,PULSDA,,,Syn
HOW0052,HOW0052,,,Syn
PIAJO,PIAJO,,,Syn
LIPVA,LIPVA,,,Syn
VARMA,VARMA,,,Syn
GRIKR,GRIKR,,,Syn
"DANIELSON,DAVID",DAVID DANIELSON,,,Syn
"Kocenda,David W NP-C",David W Kocenda NP-C,,,Syn
SPOGDA,SPOGDA,,,Syn
PACEJOHN,PACEJOHN,,,Syn
SPESC,SPESC,,,Syn
BRADJO,BRADJO,,,Syn
HCLA,HCLA,,,Syn
HNWOSU,HNWOSU,,,Syn
APPP04,APPP04,,,Syn
BROCKHAJ,BROCKHAJ,,,Syn
MARAND,MARAND,,,Syn
SYVRERUC,SYVRERUC,,,Syn
ROB0096,ROB0096,,,Syn
ALFRI,ALFRI,,,Syn
MICHA,MICHA,,,Syn
GUNJ,GUNJ,,,Syn
KRATH,KRATH,,,Syn
PHY.WULJO,PHY.WULJO,,,Syn
WILLI93328,WILLI93328,,,Syn
"Somerville, Paul  DO",Paul Somerville DO,,,Syn
MALDLYSSJ,MALDLYSSJ,,,Syn
REID.11,REID.11,,,Syn
WARRENEDWA,WARRENEDWA,,,Syn
ROBJO,ROBJO,,,Syn
WELJN,WELJN,,,Syn
GAST,GAST,,,Syn
LOPERAF,LOPERAF,,,Syn
ZEELI,ZEELI,,,Syn
BUTTAN,BUTTAN,,,Syn
JACT,JACT,,,Syn
MARMA,MARMA,,,Syn
JMABS,JMABS,,,Syn
TMACK,TMACK,,,Syn
ARINGERING,ARINGERING,,,Syn
MORJOJ,MORJOJ,,,Syn
SOLARO,SOLARO,,,Syn
SIMPTH,SIMPTH,,,Syn
BURDAJOHNF,BURDAJOHNF,,,Syn
"Laming, Christie MD",Christie Laming MD,,,Syn
MACRAEE,MACRAEE,,,Syn
WHITTODD,WHITTODD,,,Syn
SMALERIC,SMALERIC,,,Syn
TIES.20,TIES.20,,,Syn
BODDE,BODDE,,,Syn
LAURCHRI,LAURCHRI,,,Syn
NARCISOV,NARCISOV,,,Syn
SMISM,SMISM,,,Syn
HILELISA,HILELISA,,,Syn
"Naqvi, Farrukh MD",Farrukh Naqvi MD,,,Syn
LEWI,LEWI,,,Syn
SHULEL,SHULEL,,,Syn
BOBPA,BOBPA,,,Syn
JEAJ,JEAJ,,,Syn
JANCY,JANCY,,,Syn
MOOREC,MOOREC,,,Syn
HOLASH,HOLASH,,,Syn
"Lensmeyer,Jon MD",Jon Lensmeyer MD,,,Syn
"LALLY,JAMES",JAMES LALLY,,,Syn
KHANAM,KHANAM,,,Syn
VANPR,VANPR,,,Syn
JGOSS,JGOSS,,,Syn
"Somerville,Paul DO",Paul Somerville DO,,,Syn
NKHANNA1,NKHANNA1,,,Syn
RPATRICK,RPATRICK,,,Syn
PADCH,PADCH,,,Syn
MJELERI,MJELERI,,,Syn
SMITDAN002,SMITDAN002,,,Syn
COTEDER,COTEDER,,,Syn
DEI1802,DEI1802,,,Syn
DISABILITY,DISABILITY,,,Syn
HUETYO,HUETYO,,,Syn
BARJE,BARJE,,,Syn
SUTC.01,SUTC.01,,,Syn
.DORSJE,.DORSJE,,,Syn
ROSZAKJO,ROSZAKJO,,,Syn
WALRAN,WALRAN,,,Syn
BURL,BURL,,,Syn
KLINTRAV,KLINTRAV,,,Syn
PJ678,PJ678,,,Syn
SCHUMA,SCHUMA,,,Syn
MORF,MORF,,,Syn
